iter	Passed	Remaining
1606	18652	4561
1607	18661	4549
1608	18670	4537
1609	18679	4524
1610	18690	4513
1611	18698	4500
1612	18708	4488
1613	18716	4476
1614	18732	4465
1615	18739	4452
1616	18745	4440
1617	18753	4427
1618	18759	4414
1619	18766	4402
1620	18773	4389
1621	18781	4376
1622	18787	4363
1623	18793	4351
1624	18807	4340
1625	18815	4327
1626	18822	4315
1627	18831	4303
1628	18839	4290
1629	18848	4278
1630	18856	4266
1631	18865	4254
1632	18873	4241
1633	18881	4229
1634	18890	4217
1635	18911	4207
1636	18921	4195
1637	18931	4183
1638	18937	4171
1639	18945	4158
1640	18951	4146
1641	18957	4133
1642	18964	4120
1643	18971	4108
1644	18979	4095
1645	18988	4083
1646	18999	4072
1647	19006	4059
1648	19012	4047
1649	19018	4034
1650	19026	4021
1651	19033	4009
1652	19040	3997
1653	19049	3984
1654	19058	3972
1655	19071	3961
1656	19081	3949
1657	19090	3937
1658	19100	3926
1659	19110	3914
1660	19117	3901
1661	19125	3889
1662	19132	3877
1663	19139	3864
1664	19146	3852
1665	19159	3841
1666	19178	3831
